kenteken,merk,kleur,toegevoegd_op
N-375-JJ,KIA,blauw,2024-10-30 10:15:30
TX-996-P,ford,zwart,2024-10-30 10:15:30
G-542-PB,Volkswagen,zwart,2024-10-30 10:15:30
G-732-FR,peugot,zwart,2024-10-30 10:15:30
GT-609-N,opel,grijs,2024-10-30 10:15:30
63-JRL-9,toyota,zwart,2024-10-30 10:15:30
46-LZT-1,citroen,zwart,2024-10-30 10:15:30
07-ZFK-1,BMW,zwart,2024-10-30 10:15:30
GJH-20-B,Renault,grijs,2024-10-30 10:15:30
84-ZLF-8,skoda,wit,2024-10-30 10:15:30
56-RGT-6,toyota,wit,2024-10-30 10:15:30
JN-352-L,nissan,blauw,2024-10-30 10:15:30
PD-712-B,volvo,zwart,2024-10-30 10:15:30
1-PNF-164,BMW,grijs,2024-10-30 10:15:30
RB-751-N,DACIA,zilver,2024-10-30 10:15:30
NJ-779-V,seat,blauw,2024-10-30 10:15:30
58-RD-DK,toyota,zilver,2024-10-30 10:15:30
P-571-VN,renault,blauw,2024-10-30 10:15:30
H-243-BJ,Mercedes,blauw,2024-10-30 10:15:30
42-PKD-5,toyota,zilver,2024-10-30 10:15:30
3-ZJZ-46,mitsubushi,wit,2024-10-30 10:15:30
75-JFD-3,nissan,wit,2024-10-30 10:15:30
TD-133-L,toyota,wit,2024-10-30 10:15:30
10-NJ-TF,volkswagen,blauw,2024-10-30 10:15:30
R-442-SR,audi,zwart,2024-10-30 10:15:30
04-SLV-3,KIA,grijs,2024-10-30 10:15:30
SN-142-N,Suzuki,wit,2024-10-30 10:15:30
P-836-HR,DACIA,grijs,2024-10-30 10:15:30
PB-953-Z,mitsubushi,wit,2024-10-30 10:15:30
47-SPL-7,audi,blauw,2024-10-30 10:15:30
KP-492-R,volkswagen,grijs,2024-10-30 10:15:30
TV-460-K,citroen,wit,2024-10-30 10:15:30
90-TDR-1,volkswagen,grijs,2024-10-30 10:15:30
NX-073-T,mercedes,zwart,2024-10-30 10:15:30
J-404-JB,skoda,zilver,2024-10-30 10:15:30
JD-420-Z,renault,wit,2024-10-30 10:15:30
GV-416-Z,ford,zilver,2024-10-30 10:15:30
07-RKH-9,ford,zwart,2024-10-30 10:15:30
5-KFJ-14,FORD,ZWART,2024-10-30 10:15:30
XJ-468-X,CITROEN,BLAUW,2024-10-30 10:15:30
82-VR-HN,LAND ROVER,ZILVER,2024-10-30 10:15:30
HK-387-F,CITROEN,GRIJS,2024-10-30 10:15:30
65-XG-LP,RENAULT,ZWART,2024-10-30 10:15:30
48-NVZ-5,OPEL,BEIGE,2024-10-30 10:15:30
R-316-DT,AUDI,ZWART,2024-10-30 10:15:30
92-PR-DT,DAIHATSU,ROOD,2024-10-30 10:15:30
08-NNZ-5,KIA,ROOD,2024-10-30 10:15:30
L-420-FK,BMW,GRIJS,2024-10-30 10:15:30
NH-787-G,FORD,ZWART,2024-11-05 10:44:30
4-ZBB-30,CITROEN,ZWART,2024-11-05 10:50:07
